1,9
2,8
3,5
4,5
5,9
6,1
7,1
8,1
9,0
10,6
11,2
12,1
13,3
14,9
15,3
16,3
17,9
18,0
19,7
20,1
21,6
22,1
23,2
24,7
25,9
26,8
27,1
28,1
29,8
30,8
31,4
32,8
33,8
34,5
35,8
36,1
37,9
38,9
39,1
40,1
41,1
42,7
43,0
44,4
45,9
46,0
47,1
48,6
49,5
50,1
51,9
52,0
53,5
54,9
55,0
56,1
57,8
58,9
59,5
60,1
61,1
62,2
63,0
64,0
65,9
66,4
67,1
68,4
69,0
70,2
71,3
72,1
73,1
74,5
75,9
76,8
77,5
78,3
79,9
80,9
81,1
82,1
83,0
84,5
85,4
86,9
87,9
88,9
89,7
90,9
91,8
92,5
93,1
94,1
95,5
96,1
97,5
98,9
99,0
100,0
101,4
102,8
103,4
104,2
105,4
106,5
107,8
108,5
109,5
110,9
111,1
112,9
113,2
114,5
115,8
116,9
117,8
118,1
119,8
120,9
121,1
122,5
123,5
124,9
125,1
126,1
127,2
128,4
129,0
130,5
131,1
132,1
133,8
134,1
135,9
136,1
137,5
138,9
139,0
140,0
141,5
142,0
143,3
144,2
145,9
146,2
147,4
148,9
149,9
150,1
151,1
152,5
153,9
154,1
155,5
156,0
157,1
158,9
159,5
160,3
161,6
162,8
163,0
164,1
165,1
166,1
167,1
168,1
169,9
170,0
171,5
172,9
173,9
174,0
175,9
176,1
177,1
178,0
179,8
180,9
181,4
182,1
183,4
184,9
185,9
186,1
187,5
188,4
189,0
190,3
191,1
192,9
193,1
194,6
195,9
196,7
197,9
198,1
199,9
200,2
201,5
202,0
203,9
204,0
205,9
206,9
207,8
208,1
209,2
210,0
211,9
212,5
213,0
214,0
215,9
216,1
217,8
218,1
219,3
220,9
221,4
222,1
223,5
224,4
225,1
226,1
227,9
228,9
229,0
230,1
231,9
232,1
233,0
234,4
235,1
236,9
237,9
238,9
239,4
240,1
241,2
242,0
243,9
244,9
245,1
246,1
247,9
248,0
249,9
250,1
251,8
252,1
253,1
254,1
255,5
256,0
257,4
258,1
259,1
260,1
261,9
262,2
263,1
264,1
265,4
266,8
267,9
268,0
269,7
270,9
271,9
272,4
273,5
274,1
275,1
276,0
277,5
278,8
279,9
280,4
281,0
282,1
283,9
284,6
285,1
286,5
287,0
288,2
289,2
290,1
291,3
292,9
293,8
294,8
295,1
296,9
297,1
298,0
299,9
300,5
301,1
302,9
303,9
304,5
305,3
306,1
307,3
308,7
309,8
310,1
311,9
312,9
313,3
314,4
315,1
316,9
317,9
318,5
319,9
320,7
321,9
322,8
323,9
324,8
325,9
326,9
327,4
328,0
329,1
330,9
331,5
332,4
333,5
334,4
335,1
336,5
337,7
338,1
339,9
340,9
341,8
342,2
343,5
344,8
345,0
346,4
347,5
348,9
349,9
350,9
351,5
352,3
353,8
354,8
355,1
356,5
357,4
358,1
359,1
360,3
361,1
362,4
363,2
364,9
365,4
366,9
367,4
368,1
369,1
370,3
371,4
372,5
373,1
374,5
375,1
376,9
377,1
378,9
379,8
380,9
381,1
382,9
383,1
384,1
385,1
386,9
387,0
388,4
389,9
390,9
391,9
392,9
393,8
394,0
395,5
396,1
397,2
398,8
399,9
400,1
401,1
402,9
403,9
404,4
405,8
406,1
407,8
408,9
409,8
410,5
411,5
412,6
413,1
414,9
415,1
416,1
417,9
418,1
419,4
420,9
421,4
422,9
423,1
424,9
425,8
426,4
427,9
428,9
429,6
430,8
431,9
432,0
433,1
434,9
435,9
436,1
437,1
438,5
439,9
440,9
441,1
442,0
443,0
444,2
445,0
446,2
447,8
448,8
449,0
450,5
451,4
452,4
453,1
454,5
455,8
456,0
457,1
458,0
459,1
460,9
461,1
462,8
463,8
464,4
465,4
466,4
467,1
468,4
469,7
470,8
471,9
472,8
473,2
474,9
475,3
476,9
477,5
478,0
479,8
480,9
481,9
482,3
483,1
484,1
485,9
486,4
487,9
488,9
489,9
490,0
491,1
492,5
493,4
494,1
495,8
496,1
497,1
498,0
499,0
500,1
501,9
502,0
503,5
504,4
505,4
506,0
507,9
508,1
509,5
510,8
511,9
512,1
513,1
514,5
515,4
516,0
517,1
518,9
519,8
520,5
